agent,user_id,split,severity,episode,step,action_idx,scenario_type,difficulty,task_completed,reward,frustration,engagement,confidence,cooperation,fairness,num_retries,completion_time
Random,user_040,test,1,0,0,20,sharing,3,False,0.3179674365768394,0.19999999999999998,0.5972251859334523,0.15199920531202482,0.5,0.5,0,25.837115823265975
Random,user_040,test,1,0,1,174,turn_taking,5,False,0.46754569094773973,0.09999999999999999,1.0,0.24363793965159836,0.5,0.5,0,28.77086517299783
Random,user_040,test,1,0,2,147,turn_taking,4,False,0.40099999999999997,0.3,1.0,0.0,0.5,0.5,0,30.611667056858817
Random,user_040,test,1,0,3,98,emotion_recognition,2,True,0.8336586623731304,0.0,0.6745249626530377,0.5620078238481264,0.51,0.5,0,38.10657118410306
Random,user_040,test,1,0,4,97,emotion_recognition,1,True,0.8043421965984885,0.09999999999999999,0.7507244672234799,0.3141657095429636,0.52,0.5,0,41.660124466969535
Random,user_040,test,1,0,5,193,conflict_resolution,1,True,0.9273975341226797,0.0,1.0,0.5359835608178651,0.53,0.5,0,40.379983058014204
Random,user_040,test,1,0,6,19,sharing,1,False,0.3634838346639517,0.3,0.8749461155465057,0.0,0.53,0.5,0,41.12392281807641
Random,user_040,test,1,0,7,156,turn_taking,1,True,0.9239318069794707,0.0,1.0,0.5128787131964718,0.54,0.5,0,38.02404467594057
Random,user_040,test,1,0,8,45,patience,1,True,0.9278630342049874,0.0,1.0,0.5390868946999166,0.55,0.5,0,36.62187489772291
Random,user_040,test,1,0,9,21,sharing,1,True,0.9281747373403311,0.0,1.0,0.5411649156022077,0.56,0.5,0,34.129886819643815
Random,user_040,test,1,0,10,118,emotion_recognition,2,True,0.8130144744556079,0.0,0.659195622296678,0.4550385851106967,0.5700000000000001,0.5,0,40.957174886307286
Random,user_040,test,1,0,11,219,conflict_resolution,4,True,0.921741822673406,0.0,1.0,0.4982788178227072,0.5800000000000001,0.5,0,38.869132840388694
Random,user_040,test,1,0,12,165,turn_taking,5,False,0.34099999999999997,0.7,1.0,0.0,0.5800000000000001,0.5,0,35.846041657075595
Random,user_040,test,1,0,13,171,turn_taking,5,False,0.4413251461066723,0.19999999999999998,1.0,0.16883430737781546,0.5800000000000001,0.5,0,32.670446973833336
Random,user_040,test,1,0,14,161,turn_taking,5,True,0.7492178607269527,0.09999999999999999,0.570752322315105,0.3066144268828082,0.5900000000000001,0.5,0,42.580139382340164
Random,user_040,test,1,0,15,176,turn_taking,5,False,0.30763534115303925,0.6,0.7469173968925219,0.18373414723521775,0.5900000000000001,0.5,0,44.86800407403968
Random,user_040,test,1,0,16,115,emotion_recognition,5,True,0.9135571757855998,0.0,0.9413225856380565,0.5610693339612194,0.6000000000000001,0.5,0,43.35887245020293
Random,user_040,test,1,0,17,28,sharing,5,True,0.8751356484187973,0.0,0.8224109077208049,0.5427491740170389,0.6100000000000001,0.5,0,44.03050399102743
Random,user_040,test,1,0,18,188,conflict_resolution,3,True,0.8194963008386622,0.0,0.6538055653296372,0.5090308749318072,0.6200000000000001,0.5,0,48.0283032948639
Random,user_040,test,1,0,19,101,emotion_recognition,2,True,0.7507343987251798,0.0,0.46220630543684826,0.4338167139608352,0.6300000000000001,0.5,0,57.95959276302834
Random,user_040,test,1,1,0,112,emotion_recognition,3,False,0.31564238360899083,0.39999999999999997,0.7654746120299695,0.0,0.5,0.5,0,21.696764364484952
Random,user_040,test,1,1,1,83,patience,5,True,0.738189174654226,0.09999999999999999,0.5183799642459553,0.33783456920292904,0.51,0.5,0,36.88996271813267
Random,user_040,test,1,1,2,41,sharing,5,False,0.3184344942143894,0.39999999999999997,0.774781647381298,0.0,0.51,0.5,0,40.343193938910986
Random,user_040,test,1,1,3,208,conflict_resolution,5,True,0.9341801215055516,0.0,1.0,0.5812008100370113,0.52,0.5,0,39.47419098353232
Random,user_040,test,1,1,4,175,turn_taking,5,False,0.3584636941728074,0.3,0.858212313909358,0.0,0.52,0.5,0,40.74057803867265
Random,user_040,test,1,1,5,144,turn_taking,4,True,0.9339570363688099,0.0,1.0,0.5797135757920666,0.53,0.5,0,36.640264329785026
Random,user_040,test,1,1,6,90,emotion_recognition,2,True,0.9236436470238768,0.0,1.0,0.5109576468258457,0.54,0.5,0,35.572033124364246
Random,user_040,test,1,1,7,185,conflict_resolution,1,False,0.29598122422313267,0.19999999999999998,0.5520809804750184,0.09571286720418082,0.54,0.5,0,45.277868521832374
Random,user_040,test,1,1,8,122,emotion_recognition,2,False,0.28327368552050103,0.6,0.7069992802304915,0.10115934300902396,0.54,0.5,0,47.606829681271314
Random,user_040,test,1,1,9,99,emotion_recognition,1,True,0.9217482276973022,0.0,1.0,0.4983215179820154,0.55,0.5,0,42.45875022492318
Random,user_040,test,1,1,10,101,emotion_recognition,1,True,0.7721869229400389,0.0,0.5152975386678966,0.4706510755977993,0.56,0.5,0,51.55317199602136
Random,user_040,test,1,1,11,51,patience,1,False,0.49082309745079655,0.09999999999999999,1.0,0.3988206496719772,0.56,0.5,0,42.96691185784506
Random,user_040,test,1,1,12,20,sharing,1,False,0.2035520316710639,0.7,0.541840105570213,0.0,0.56,0.5,0,50.839420996655946
Random,user_040,test,1,1,13,124,emotion_recognition,2,True,0.7862085260471732,0.09999999999999999,0.7015707474876832,0.2915820120057881,0.5700000000000001,0.5,0,51.62304093068144
Random,user_040,test,1,1,14,199,conflict_resolution,2,True,0.8750261013579509,0.0,0.8114998123508835,0.5638410510179055,0.5800000000000001,0.5,0,49.999348123345015
Random,user_040,test,1,1,15,14,sharing,1,True,0.8400906362103475,0.0,0.7019547432388095,0.5500280882580311,0.5900000000000001,0.5,0,51.02621792475844
Random,user_040,test,1,1,16,193,conflict_resolution,1,False,0.24582243797554196,0.6,0.6041852913290077,0.05711233717893116,0.5900000000000001,0.5,0,54.338468199689345
Random,user_040,test,1,1,17,186,conflict_resolution,1,True,0.9340691517678706,0.0,1.0,0.5804610117858044,0.6000000000000001,0.5,0,47.03521437003188
Random,user_040,test,1,1,18,62,patience,1,True,0.7683578204711771,0.0,0.48514652407157366,0.5054257549980333,0.6100000000000001,0.5,0,56.11352072346571
Random,user_040,test,1,1,19,142,turn_taking,1,False,0.39158929171460066,0.19999999999999998,0.8615778529157483,0.11410623893250815,0.6100000000000001,0.5,0,52.33690320674518
Random,user_040,test,1,2,0,37,sharing,5,True,0.8553159607399802,0.0,0.7702774976242743,0.5148847430179859,0.51,0.5,0,21.605126119739666
Random,user_040,test,1,2,1,170,turn_taking,5,False,0.258835857828551,0.5,0.496800397732647,0.2586382567250463,0.51,0.5,0,37.76849769078282
Random,user_040,test,1,2,2,157,turn_taking,5,False,0.37706882209054204,0.5,0.8577851230633997,0.3248885678101479,0.51,0.5,0,39.553121050361064
