agent,user_id,split,severity,episode,step,action_idx,scenario_type,difficulty,task_completed,reward,frustration,engagement,confidence,cooperation,fairness,num_retries,completion_time
PPO (RL Agent),user_040,test,1,1,4,17,sharing,1,True,0.7985325034578308,0.0,0.5700076787373821,0.5368679989107745,0.54,0.5,0,38.599289051909906
PPO (RL Agent),user_040,test,1,1,5,17,sharing,1,True,0.7516306140454524,0.09999999999999999,0.5578071190931916,0.34858985544996596,0.55,0.5,0,47.18776411522701
PPO (RL Agent),user_040,test,1,1,6,96,emotion_recognition,1,True,0.8782527741660267,0.09999999999999999,1.0,0.3083518277735114,0.56,0.5,0,43.87857267114183
PPO (RL Agent),user_040,test,1,1,7,17,sharing,1,True,0.775751059229851,0.0,0.5031250453214188,0.5187569708895023,0.5700000000000001,0.5,0,53.07524730279685
PPO (RL Agent),user_040,test,1,1,8,17,sharing,1,True,0.8184991620543901,0.0,0.6196471148649807,0.5707001839659727,0.5800000000000001,0.5,0,55.30816795752218
PPO (RL Agent),user_040,test,1,1,9,17,sharing,1,False,0.3432736855205011,0.19999999999999998,0.7069992802304915,0.10115934300902396,0.5800000000000001,0.5,0,54.62803928625418
PPO (RL Agent),user_040,test,1,1,10,96,emotion_recognition,1,True,0.9217482276973022,0.0,1.0,0.4983215179820154,0.5900000000000001,0.5,0,47.37359694841118
PPO (RL Agent),user_040,test,1,1,11,17,sharing,1,True,0.7721869229400389,0.0,0.5152975386678966,0.4706510755977993,0.6000000000000001,0.5,0,54.99356470246296
PPO (RL Agent),user_040,test,1,1,12,96,emotion_recognition,1,False,0.49082309745079655,0.09999999999999999,1.0,0.3988206496719772,0.6000000000000001,0.5,0,45.37518675235418
PPO (RL Agent),user_040,test,1,1,13,17,sharing,1,False,0.2035520316710639,0.7,0.541840105570213,0.0,0.6000000000000001,0.5,0,52.52521342281233
PPO (RL Agent),user_040,test,1,1,14,96,emotion_recognition,1,True,0.8757373018008682,0.09999999999999999,1.0,0.2915820120057881,0.6100000000000001,0.5,0,47.99246175908422
PPO (RL Agent),user_040,test,1,1,15,96,emotion_recognition,1,True,0.9315761576526858,0.0,1.0,0.5638410510179055,0.6200000000000001,0.5,0,43.29897686166656
PPO (RL Agent),user_040,test,1,1,16,17,sharing,1,True,0.8400906362103475,0.0,0.7019547432388095,0.5500280882580311,0.6300000000000001,0.5,0,46.335958041583524
PPO (RL Agent),user_040,test,1,1,17,17,sharing,1,False,0.19403512729019845,0.6,0.43156092237786264,0.05711233717893116,0.6300000000000001,0.5,0,58.50333254241028
PPO (RL Agent),user_040,test,1,1,18,96,emotion_recognition,1,True,0.9340691517678706,0.0,1.0,0.5804610117858044,0.6400000000000001,0.5,0,49.95061940993653
PPO (RL Agent),user_040,test,1,1,19,17,sharing,1,True,0.7683578204711771,0.0,0.48514652407157366,0.5054257549980333,0.6500000000000001,0.5,0,58.15430425139897
PPO (RL Agent),user_040,test,1,2,0,96,emotion_recognition,1,True,0.9242327114526978,0.0,1.0,0.5148847430179859,0.51,0.5,0,17.22358828381777
PPO (RL Agent),user_040,test,1,2,1,17,sharing,1,True,0.7295121738086748,0.09999999999999999,0.5190547843330595,0.27863825672504633,0.52,0.5,0,33.730524522503266
PPO (RL Agent),user_040,test,1,2,2,96,emotion_recognition,1,True,0.9188178446801766,0.0,1.0,0.4787856312011779,0.53,0.5,0,33.28226300709463
PPO (RL Agent),user_040,test,1,2,3,96,emotion_recognition,1,True,0.8633301059655282,0.0,0.8305171849079898,0.44783300328754216,0.54,0.5,0,36.843360404882716
PPO (RL Agent),user_040,test,1,2,4,96,emotion_recognition,1,False,0.4673572907231941,0.09999999999999999,0.9821386124177944,0.2781047133190386,0.54,0.5,0,37.24494724359887
PPO (RL Agent),user_040,test,1,2,5,96,emotion_recognition,1,True,0.9226531549380532,0.0,1.0,0.5043543662536886,0.55,0.5,0,36.528054580661475
PPO (RL Agent),user_040,test,1,2,6,17,sharing,1,True,0.8291120441016884,0.0,0.6262539531471324,0.6282390543836577,0.56,0.5,0,43.53359666686882
PPO (RL Agent),user_040,test,1,2,7,17,sharing,1,False,0.27445882444588593,0.6,0.6456877628120524,0.16501663734846816,0.56,0.5,0,47.89679970487068
PPO (RL Agent),user_040,test,1,2,8,96,emotion_recognition,1,True,0.9009030167271588,0.0,0.954454776348327,0.4504438921510717,0.5700000000000001,0.5,0,45.31459378363965
PPO (RL Agent),user_040,test,1,2,9,17,sharing,1,False,0.39045143819782724,0.0,0.5772405414499897,0.47519517175220227,0.5700000000000001,0.5,0,51.20949124887331
PPO (RL Agent),user_040,test,1,2,10,96,emotion_recognition,1,True,0.9327997581430132,0.0,1.0,0.571998387620088,0.5800000000000001,0.5,0,43.77911320440956
PPO (RL Agent),user_040,test,1,2,11,17,sharing,1,True,0.8349076965193394,0.0,0.647698957483671,0.6239867284949201,0.5900000000000001,0.5,0,48.01455958530396
PPO (RL Agent),user_040,test,1,2,12,17,sharing,1,False,0.2949012425235075,0.09999999999999999,0.43731142596469236,0.21805209822733213,0.5900000000000001,0.5,0,59.33556573849083
PPO (RL Agent),user_040,test,1,2,13,96,emotion_recognition,1,False,0.43127285617578803,0.4,0.9253713543264662,0.45107633251898793,0.5900000000000001,0.5,0,53.69217746660369
PPO (RL Agent),user_040,test,1,2,14,96,emotion_recognition,1,True,0.91510566960405,0.0,1.0,0.454037797360334,0.6000000000000001,0.5,0,47.93579424914472
PPO (RL Agent),user_040,test,1,2,15,17,sharing,1,True,0.832265266462163,0.0,0.6640008206394269,0.5737668018022327,0.6100000000000001,0.5,0,50.49780611914713
PPO (RL Agent),user_040,test,1,2,16,17,sharing,1,False,0.2588247371419828,0.3,0.5260824571399427,0.0,0.6100000000000001,0.5,0,56.73294469577188
PPO (RL Agent),user_040,test,1,2,17,96,emotion_recognition,1,True,0.9275191720389583,0.0,1.0,0.5367944802597224,0.6200000000000001,0.5,0,49.393891524963706
PPO (RL Agent),user_040,test,1,2,18,17,sharing,1,True,0.8071537791403522,0.0,0.627990118242727,0.47837829111689456,0.6300000000000001,0.5,0,52.49001869281091
PPO (RL Agent),user_040,test,1,2,19,17,sharing,1,False,0.4518644965999973,0.0,0.7051111297769447,0.6288743844460927,0.6300000000000001,0.5,0,52.697944903387274
PPO (RL Agent),user_040,test,1,3,0,96,emotion_recognition,1,True,0.9296714401161406,0.0,1.0,0.5511429341076044,0.51,0.5,0,15.32998370662452
