agent,user_id,split,severity,episode,step,action_idx,scenario_type,difficulty,task_completed,reward,frustration,engagement,confidence,cooperation,fairness,num_retries,completion_time
rl_agent,user_000,train,2,0,0,2,sharing,1,True,0.9536199523187214,0.09999999999999999,1.0,0.81079968212481,0.51,0.5,0,10.470602220052463
rl_agent,user_000,train,2,0,1,138,turn_taking,1,True,0.7378618060754115,0.09999999999999999,0.3,0.7724120405027435,0.52,0.5,0,9.237619023605689
rl_agent,user_000,train,2,0,2,62,patience,1,False,0.5042747777329588,0.3,1.0,0.6884985182197251,0.52,0.5,0,10.49323611031686
rl_agent,user_000,train,2,0,3,2,sharing,1,True,0.9322192450491538,0.19999999999999998,1.0,0.7681283003276924,0.53,0.5,0,10.760636340689116
rl_agent,user_000,train,2,0,4,62,patience,1,True,0.9677702374863897,0.0,1.0,0.8051349165759312,0.54,0.5,0,11.791932998966193
rl_agent,user_000,train,2,0,5,188,conflict_resolution,1,True,0.9303292133536759,0.19999999999999998,1.0,0.7555280890245064,0.55,0.5,0,12.03447597424686
rl_agent,user_000,train,2,0,6,103,emotion_recognition,1,True,0.9513254267536799,0.09999999999999999,1.0,0.7955028450245336,0.56,0.5,0,11.277269824029922
rl_agent,user_000,train,2,0,7,100,emotion_recognition,1,True,0.9286199582944001,0.19999999999999998,1.0,0.7441330552960015,0.5700000000000001,0.5,0,10.61031859828153
rl_agent,user_000,train,2,0,8,56,patience,1,True,0.9695727227917883,0.0,1.0,0.8171514852785886,0.5800000000000001,0.5,0,11.101953478567868
rl_agent,user_000,train,2,0,9,56,patience,1,True,0.932145213681995,0.19999999999999998,1.0,0.7676347578799665,0.5900000000000001,0.5,0,11.751517881517085
rl_agent,user_000,train,2,0,10,56,patience,1,True,0.9322698949361324,0.19999999999999998,1.0,0.768465966240883,0.6000000000000001,0.5,0,11.605326548781806
rl_agent,user_000,train,2,0,11,56,patience,1,True,0.9271023151066418,0.19999999999999998,1.0,0.7340154340442788,0.6100000000000001,0.5,0,12.876169756099252
rl_agent,user_000,train,2,0,12,56,patience,1,True,0.9491967290693624,0.09999999999999999,1.0,0.7813115271290829,0.6200000000000001,0.5,0,13.070671841953349
rl_agent,user_000,train,2,0,13,56,patience,1,True,0.931718066882419,0.19999999999999998,1.0,0.7647871125494605,0.6300000000000001,0.5,0,13.490718289567795
rl_agent,user_000,train,2,0,14,56,patience,1,True,0.9524192545982493,0.09999999999999999,1.0,0.8027950306549949,0.6400000000000001,0.5,0,12.706403122172732
rl_agent,user_000,train,2,0,15,56,patience,1,False,0.5016106202963169,0.3,1.0,0.6707374686421124,0.6400000000000001,0.5,0,13.040418583278
rl_agent,user_000,train,2,0,16,103,emotion_recognition,1,False,0.46577885429766397,0.5,1.0,0.631859028651093,0.6400000000000001,0.5,0,11.802663909623739
rl_agent,user_000,train,2,0,17,103,emotion_recognition,1,True,0.972895350286697,0.0,1.0,0.8393023352446474,0.6500000000000001,0.5,0,10.862175764574404
rl_agent,user_000,train,2,0,18,100,emotion_recognition,1,True,0.9311222875784062,0.19999999999999998,1.0,0.7608152505227086,0.6600000000000001,0.5,0,10.799464879172737
rl_agent,user_000,train,2,0,19,56,patience,1,False,0.5044809149783296,0.3,1.0,0.6898727665221976,0.6600000000000001,0.5,0,10.86900479309605
rl_agent,user_001,train,2,0,0,138,turn_taking,1,False,0.5083699523187215,0.3,1.0,0.7157996821248099,0.5,0.5,0,11.397800688927894
rl_agent,user_001,train,2,0,1,138,turn_taking,1,False,0.4823682763790959,0.39999999999999997,1.0,0.6424551758606394,0.5,0.5,0,12.967545975220297
rl_agent,user_001,train,2,0,2,138,turn_taking,1,False,0.48680640065146463,0.39999999999999997,1.0,0.6720426710097646,0.5,0.5,0,13.966994538703968
rl_agent,user_001,train,2,0,3,138,turn_taking,1,True,0.9530204694308875,0.09999999999999999,1.0,0.8068031295392506,0.51,0.5,0,13.670714018633852
rl_agent,user_001,train,2,0,4,187,conflict_resolution,1,False,0.48652494257257783,0.39999999999999997,1.0,0.6701662838171856,0.51,0.5,0,15.841601749216252
rl_agent,user_001,train,2,0,5,191,conflict_resolution,1,False,0.48545042675368,0.39999999999999997,1.0,0.6630028450245337,0.51,0.5,0,19.63771948182422
rl_agent,user_001,train,2,0,6,138,turn_taking,1,True,0.9284260723562285,0.19999999999999998,1.0,0.7428404823748569,0.52,0.5,0,19.032599654106185
rl_agent,user_001,train,2,0,7,187,conflict_resolution,1,True,0.9305243809267698,0.19999999999999998,1.0,0.7568292061784658,0.53,0.5,0,19.141415078725696
rl_agent,user_001,train,2,0,8,188,conflict_resolution,1,True,0.9519082070206082,0.09999999999999999,1.0,0.7993880468040546,0.54,0.5,0,22.01033791299971
rl_agent,user_001,train,2,0,9,38,sharing,3,False,0.5313413374172693,0.19999999999999998,1.0,0.7689422494484617,0.54,0.5,0,23.037240502853415
rl_agent,user_001,train,2,0,10,188,conflict_resolution,1,True,0.9320170992277017,0.19999999999999998,1.0,0.7667806615180113,0.55,0.5,0,24.988825717074228
rl_agent,user_001,train,2,0,11,188,conflict_resolution,1,False,0.3789269713659359,0.8,1.0,0.352846475772906,0.55,0.5,0,28.175983260012202
rl_agent,user_001,train,2,0,12,149,turn_taking,1,False,0.42279425459824926,0.6,1.0,0.44529503065499504,0.55,0.5,0,29.95087124782458
rl_agent,user_001,train,2,0,13,138,turn_taking,1,True,0.949256771700172,0.09999999999999999,1.0,0.7817118113344801,0.56,0.5,0,25.64160116088572
rl_agent,user_001,train,2,0,14,187,conflict_resolution,1,False,0.40090385429766395,0.7,1.0,0.39935902865109313,0.56,0.5,0,24.22713456426318
rl_agent,user_001,train,2,0,15,149,turn_taking,1,True,0.972895350286697,0.0,1.0,0.8393023352446474,0.5700000000000001,0.5,0,25.504818462097838
rl_agent,user_001,train,2,0,16,187,conflict_resolution,1,True,0.9311222875784062,0.19999999999999998,1.0,0.7608152505227086,0.5800000000000001,0.5,0,25.3557604329676
rl_agent,user_001,train,2,0,17,142,turn_taking,1,False,0.5251059149783296,0.19999999999999998,1.0,0.7273727665221976,0.5800000000000001,0.5,0,23.29808878054732
rl_agent,user_001,train,2,0,18,188,conflict_resolution,1,True,0.9032944973748849,0.3,0.9898849817907824,0.6955266855843341,0.5900000000000001,0.5,0,27.673618890799872
rl_agent,user_001,train,2,0,19,203,conflict_resolution,1,False,0.4617653656001602,0.5,1.0,0.6051024373344014,0.5900000000000001,0.5,0,27.67553207004456
rl_agent,user_002,train,2,0,0,138,turn_taking,1,False,0.29836995231872143,0.3,0.3,0.7157996821248099,0.5,0.5,0,8.596359225072092
rl_agent,user_002,train,2,0,1,138,turn_taking,1,False,0.2723682763790959,0.39999999999999997,0.3,0.6424551758606394,0.5,0.5,0,7.828441362442859
