agent,user_id,split,severity,episode,step,action_idx,scenario_type,difficulty,task_completed,reward,frustration,engagement,confidence,cooperation,fairness,num_retries,completion_time
random,user_002,train,2,0,11,43,sharing,5,False,0.15084306688241905,0.9,0.3,0.3322871125494605,0.54,0.5,0,9.113007195879185
random,user_002,train,2,0,12,81,patience,5,False,0.27875505844266896,0.39999999999999997,0.3,0.6850337229511262,0.54,0.5,0,7.663543486217262
random,user_002,train,2,0,13,105,emotion_recognition,4,True,0.7396968656129684,0.09999999999999999,0.3,0.7846457707531234,0.55,0.5,0,7.034882640632418
random,user_002,train,2,0,14,112,emotion_recognition,4,False,0.21477404883411305,0.6,0.3,0.45849365889408705,0.55,0.5,0,6.74788576179416
random,user_002,train,2,0,15,9,sharing,3,True,0.7624641600376731,0.0,0.3,0.8364277335844879,0.56,0.5,0,6.141461480086957
random,user_002,train,2,0,16,122,emotion_recognition,4,True,0.9713649504410222,0.0,1.0,0.8290996696068156,0.5700000000000001,0.5,0,7.544943771021474
random,user_002,train,2,0,17,34,sharing,5,True,0.7398418524959085,0.09999999999999999,0.3,0.785612349972723,0.5800000000000001,0.5,0,7.364618048249525
random,user_002,train,2,0,18,167,turn_taking,5,True,0.90632900283765,0.3,1.0,0.6955266855843341,0.5900000000000001,0.5,0,9.280602295744906
random,user_002,train,2,0,19,153,turn_taking,5,False,0.25176536560016016,0.5,0.3,0.6051024373344014,0.5900000000000001,0.5,0,8.003557343862365
random,user_003,train,2,0,0,207,conflict_resolution,4,False,0.5289949523187214,0.19999999999999998,1.0,0.7532996821248099,0.5,0.5,0,16.16441063207707
random,user_003,train,2,0,1,167,turn_taking,5,False,0.3653064756201989,0.3,0.5410439974703436,0.6799551758606394,0.5,0.5,0,32.108220815339486
random,user_003,train,2,0,2,82,patience,5,False,0.4186630245506944,0.39999999999999997,0.7728554129974324,0.6720426710097646,0.5,0.5,0,37.03216423133398
random,user_003,train,2,0,3,217,conflict_resolution,5,True,0.9441774379508507,0.09999999999999999,0.9705232283998771,0.8068031295392506,0.51,0.5,0,37.51420042684339
random,user_003,train,2,0,4,92,emotion_recognition,3,False,0.3915935619735051,0.3,0.6148120646697577,0.7076662838171854,0.51,0.5,0,44.558214920390164
random,user_003,train,2,0,5,73,patience,4,False,0.5125647477696751,0.09999999999999999,0.884131070053317,0.7755028450245336,0.51,0.5,0,43.91510815666702
